Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,7.59,$902.29M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd
MMM,3M Company,149.27,$85.86B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm
WBAI,500.com Limited,3.34,$143.62M,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,51.94,$7.78B,2013,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/wuba
EGHT,8x8 Inc,16.17,$1.66B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,1.52,$32.54M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc
AOS,A.O Smith Corporation,43.5,$7.01B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos
ATEN,"A10 Networks, Inc.",6.64,$524.47M,2014,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten
AIR,AAR Corp.,17.65,$619.53M,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",33.37,$2.25B,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
ABB,ABB Ltd,18.68,$39.86B,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,90.27,$159.67B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,91.47,$161.2B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,11.86,$730.55M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf
AGD,Aberdeen Global Dynamic Dividend Fund,8.25,$103.53M,2006,n/a,n/a,https://old.nasdaq.com/symbol/agd
AWP,Aberdeen Global Premier Properties Fund,4.27,$364.69M,2007,n/a,n/a,https://old.nasdaq.com/symbol/awp
ACP,Aberdeen Income Credit Strategies Fund,7.75,$135.1M,2011,n/a,n/a,https://old.nasdaq.com/symbol/acp
JEQ,"Aberdeen Japan Equity Fund, Inc. ",6.97,$93.46M,1992,n/a,n/a,https://old.nasdaq.com/symbol/jeq
AOD,Aberdeen Total Dynamic Dividend Fund,7.18,$756.99M,2007,n/a,n/a,https://old.nasdaq.com/symbol/aod
ABM,ABM Industries Incorporated,32.58,$2.17B,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,11.63,$1B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/akr
ACEL,"Accel Entertainment, Inc.",8.74,$683.96M,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel
ACEL.WS,"Accel Entertainment, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/acel.ws
ACN,Accenture plc,192.75,$122.9B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,6.18,$583.78M,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",13.2712,$34.25M,2007,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/atv
AYI,"Acuity Brands, Inc. ",84.97,$3.37B,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,29.89,$2.22B,2016,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/golf
ADX,"Adams Diversified Equity Fund, Inc.",14.32,$1.56B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",10.72,$320.26M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/peo
ADCT,ADC Therapeutics SA,30,$1.92B,2020,n/a,n/a,https://old.nasdaq.com/symbol/adct
AGRO,Adecoagro S.A.,3.81,$448.87M,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/agro
ADNT,Adient plc,17,$1.6B,2016,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt
ADT,ADT Inc.,6.3,$4.85B,2018,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt
ATGE,Adtalem Global Education Inc.,32.93,$1.71B,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/atge
AAP,Advance Auto Parts Inc,131.11,$9.06B,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap
ADSW,"Advanced Disposal Services, Inc.",32.56,$2.94B,2016,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/adsw
WMS,"Advanced Drainage Systems, Inc.",40.49,$2.79B,2014,Capital Goods,Containers/Packaging,https://old.nasdaq.com/symbol/wms
ASIX,AdvanSix Inc.,11.42,$319.81M,2016,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/asix
AVK,Advent Convertible and Income Fund,11.86,$409.47M,2003,n/a,n/a,https://old.nasdaq.com/symbol/avk
ACM,AECOM,34.69,$5.55B,2007,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/acm
AEFC,Aegon Funding Company LLC,22.07,n/a,2019,Finance,Life Insurance,https://old.nasdaq.com/symbol/aefc
