Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
LTRX,"Lantronix, Inc.",3.39,$94.03M,2000,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/ltrx
LSCC,Lattice Semiconductor Corporation,23.94,$3.22B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/lscc
LAUR,"Laureate Education, Inc.",8.97,$1.88B,2017,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/laur
LAWS,"Lawson Products, Inc.",31.66,$284.82M,n/a,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/laws
LAZY,"Lazydays Holdings, Inc.",4.3,$36.05M,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/lazy
LCNB,LCNB Corporation,14.07,$182.49M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/lcnb
LPTX,"LEAP THERAPEUTICS, INC.",2.24,$80.19M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lptx
LEGH,Legacy Housing Corporation,12.08,$299.13M,2018,Basic Industries,Homebuilding,https://old.nasdaq.com/symbol/legh
INFR,Legg Mason Global Infrastructure ETF,25.135,$17.59M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/infr
LVHD,Legg Mason Low Volatility High Dividend ETF,27.41,$664.69M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/lvhd
SQLV,Legg Mason Small-Cap Quality Value ETF,20.6505,$10.33M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/sqlv
LACQ,Leisure Acquisition Corp.,11.14,$265.98M,2017,Finance,Business Services,https://old.nasdaq.com/symbol/lacq
LACQU,Leisure Acquisition Corp.,9.94,n/a,2017,Finance,Business Services,https://old.nasdaq.com/symbol/lacqu
LACQW,Leisure Acquisition Corp.,0.13,n/a,2017,Finance,Business Services,https://old.nasdaq.com/symbol/lacqw
LMAT,"LeMaitre Vascular, Inc.",25.25,$509.51M,2006,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/lmat
TREE,"LendingTree, Inc.",250.35,$3.27B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/tree
LEVL,"Level One Bancorp, Inc.",17.5,$135.29M,2018,Finance,Major Banks,https://old.nasdaq.com/symbol/levl
LXRX,"Lexicon Pharmaceuticals, Inc.",1.98,$211.8M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lxrx
LX,LexinFintech Holdings Ltd.,9.15,$1.65B,2017,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/lx
LFAC,LF Capital Acquistion Corp.,10.43,$202.41M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/lfac
LFACU,LF Capital Acquistion Corp.,10.5,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/lfacu
LFACW,LF Capital Acquistion Corp.,0.4,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/lfacw
LGIH,"LGI Homes, Inc.",78.57,$1.97B,2013,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/lgih
LHCG,LHC Group,160.18,$5.06B,2005,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/lhcg
LLIT,Lianluo Smart Limited,0.4275,$7.56M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/llit
LBRDA,Liberty Broadband Corporation,125.01,$22.74B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lbrda
LBRDK,Liberty Broadband Corporation,127.11,$23.12B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lbrdk
LBTYA,Liberty Global plc,21.84,$13.23B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/lbtya
LBTYB,Liberty Global plc,22.81,$13.82B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lbtyb
LBTYK,Liberty Global plc,21.36,$12.94B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/lbtyk
LILA,Liberty Latin America Ltd.,9.71,$1.77B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lila
LILAK,Liberty Latin America Ltd.,9.47,$1.73B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/lilak
BATRA,Liberty Media Corporation,21.82,$1.12B,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/batra
BATRK,Liberty Media Corporation,21.29,$1.09B,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/batrk
FWONA,Liberty Media Corporation,31.1,$7.21B,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/fwona
